iter	Accuracy	Logloss
694	0.9908600891	0.2022067214
695	0.9908600891	0.2019116124
696	0.9908600891	0.2016551841
697	0.9910944457	0.2013035026
698	0.9910944457	0.2009866348
699	0.9910944457	0.2007501192
700	0.9913288024	0.2003294543
701	0.9913288024	0.2001075629
702	0.9908600891	0.1998179966
703	0.9910944457	0.1994718808
704	0.9910944457	0.1990933173
705	0.9910944457	0.1987398478
706	0.9910944457	0.1983321726
707	0.9910944457	0.1980316755
708	0.9910944457	0.1977160752
709	0.9908600891	0.1974319675
710	0.9910944457	0.1970834261
711	0.9910944457	0.1967873666
712	0.9908600891	0.1965383608
713	0.9910944457	0.1962496636
714	0.9908600891	0.1960019955
715	0.9908600891	0.1956968014
716	0.9908600891	0.1954331197
717	0.9910944457	0.1949932083
718	0.9910944457	0.1946052426
719	0.9910944457	0.1943285101
720	0.9915631591	0.1940205601
721	0.9917975158	0.1936713369
722	0.9920318725	0.193491456
723	0.9920318725	0.1931188016
724	0.9920318725	0.1928056385
725	0.9920318725	0.1925137272
726	0.9917975158	0.1921050295
727	0.9920318725	0.1918609077
728	0.9920318725	0.1915338984
729	0.9920318725	0.1912354114
730	0.9922662292	0.1908934019
731	0.9920318725	0.1906396797
732	0.9922662292	0.1903060647
733	0.9922662292	0.1898886848
734	0.9922662292	0.1896348361
735	0.9922662292	0.1892226877
736	0.9922662292	0.188983316
737	0.9922662292	0.188636797
738	0.9922662292	0.1882419242
739	0.9922662292	0.1879040736
740	0.9922662292	0.1876936272
741	0.9922662292	0.1875017485
742	0.9925005859	0.1872600966
743	0.9925005859	0.1870036605
744	0.9927349426	0.1866048675
745	0.9925005859	0.1863256738
746	0.9925005859	0.1859703897
747	0.9922662292	0.1856428848
748	0.9925005859	0.1853850869
749	0.9925005859	0.1851052162
750	0.9925005859	0.184769287
751	0.9922662292	0.184456984
752	0.9925005859	0.1841716307
753	0.9922662292	0.1838273839
754	0.9922662292	0.1835641378
755	0.9922662292	0.1832877725
756	0.9925005859	0.1829725042
757	0.9922662292	0.182640368
758	0.9922662292	0.1822623165
759	0.9925005859	0.1819836857
760	0.9925005859	0.181746048
761	0.9925005859	0.1814961717
762	0.9927349426	0.1811963272
763	0.9927349426	0.1810170473
764	0.9925005859	0.1807086651
765	0.9929692993	0.1803084006
766	0.9929692993	0.1800524192
767	0.993203656	0.1797475565
768	0.993203656	0.1795342694
769	0.9929692993	0.1792866903
770	0.9929692993	0.1790098093
771	0.9929692993	0.1787445624
772	0.993203656	0.1783961969
773	0.9929692993	0.1781138941
774	0.993203656	0.1778040966
775	0.993203656	0.1775421627
776	0.9929692993	0.1772598717
777	0.9934380127	0.1770017282
778	0.9936723693	0.1767286428
779	0.9936723693	0.1764864408
780	0.9936723693	0.176266545
781	0.993906726	0.1760154809
782	0.993906726	0.1757738313
783	0.993906726	0.1755650698
784	0.9941410827	0.1752702043
785	0.9941410827	0.1750883059
786	0.993906726	0.1748062539
787	0.993906726	0.1744982433
788	0.993906726	0.1742684454
789	0.993906726	0.1739965452
790	0.9941410827	0.1737309165
791	0.9941410827	0.173428824
792	0.9943754394	0.1732058541
793	0.9943754394	0.1729349669
794	0.9943754394	0.1726511409
795	0.9943754394	0.1723677428
796	0.9943754394	0.1720208866
797	0.9941410827	0.1717564641
798	0.9941410827	0.1714756639
799	0.9943754394	0.1711916907
800	0.9943754394	0.170918735
801	0.9941410827	0.1706693974
802	0.9941410827	0.1705115328
803	0.9941410827	0.1702461947
804	0.9943754394	0.1699171068
805	0.9943754394	0.1696108295
806	0.9943754394	0.1693568381
807	0.9943754394	0.1691321293
808	0.9943754394	0.1688263628
809	0.9943754394	0.1686071468
810	0.9943754394	0.1683635156
811	0.9943754394	0.1680758733
812	0.9941410827	0.1678212423
813	0.9941410827	0.1675510221
814	0.9941410827	0.167320005
815	0.993906726	0.1669990741
816	0.993906726	0.1668005986
817	0.993906726	0.1665003201
818	0.9936723693	0.166248677
819	0.9936723693	0.1660695344
820	0.993906726	0.165832849
821	0.993906726	0.165573251
822	0.993906726	0.1652470087
823	0.993906726	0.1650212606
824	0.993906726	0.1646995431
825	0.9941410827	0.1643961877
826	0.993906726	0.1641592732
827	0.9936723693	0.1638743787
828	0.9941410827	0.1635551255
829	0.9941410827	0.1633917175
830	0.9941410827	0.1631061834
831	0.9941410827	0.1628407357
832	0.9948441528	0.1625100736
833	0.9946097961	0.1622272161
834	0.9948441528	0.1620028677
835	0.9948441528	0.1617635279
836	0.9948441528	0.1615472755
837	0.9948441528	0.1613309922
838	0.9950785095	0.1610538052
839	0.9950785095	0.1607892543
840	0.9950785095	0.1605207789
841	0.9950785095	0.1602915677
842	0.9950785095	0.1600366276
843	0.9946097961	0.1598821163
844	0.9950785095	0.1596742587
845	0.9948441528	0.1594167034
846	0.9946097961	0.1590996849
847	0.9946097961	0.15891382
848	0.9948441528	0.1586280962
849	0.9948441528	0.1583260049
850	0.9946097961	0.1580716753
851	0.9946097961	0.1578026224
852	0.9946097961	0.1575040261
853	0.9946097961	0.1573133272
854	0.9948441528	0.1570504794
855	0.9948441528	0.1567681661
856	0.9948441528	0.1565602467
857	0.9946097961	0.1562741054
858	0.9946097961	0.156037501
859	0.9948441528	0.1557607179
860	0.9946097961	0.1555471962
861	0.9948441528	0.155315625
862	0.9950785095	0.1551111412
863	0.9953128662	0.1549148947
864	0.9950785095	0.1546340417
865	0.9950785095	0.1543829349
866	0.9950785095	0.1540933642
867	0.9950785095	0.1538631992
868	0.9950785095	0.1536535041
869	0.9950785095	0.1534320516
870	0.9950785095	0.1531948332
871	0.9953128662	0.1530026881
872	0.9953128662	0.1528398937
873	0.9953128662	0.1525927591
874	0.9948441528	0.1523178171
875	0.9953128662	0.1520755388
876	0.9950785095	0.1518685907
877	0.9950785095	0.1516337779
878	0.9948441528	0.1514000768
879	0.9950785095	0.1511601432
